Course,University,Department,Entry Requirements,URL
['Data Analytics (MSc)'],['Queen’s University Belfast'],['School of Mathematics and Physics'],"['Normally a 2.1 Honours degree in Mathematics, Statistics, or Computer Science or a closely related discipline, or equivalent qualification acceptable to the University. ', ' ', 'Applicants with a minimum 2.2 Honours degree in a cognate discipline, a 2.1 Honours degree in a non-cognate discipline, or who have not yet completed their degree, will be required to pass an aptitude test.']",https://www.findamasters.com/common/clickCount.aspx?theid=49783&type=211&did=7726&url=https%3a%2f%2fwww.qub.ac.uk%2fcourses%2fpostgraduate-taught%2fdata-analytics-msc%2f%3futm_source%3dfindamasters.com%26utm_medium%3daffiliate%26utm_campaign%3dsmc_nn_international_mixed_find_a_masters_23_24%26utm_content%3dcourse_listing
['MSc - Data Science and Environmental Intelligence'],['University of Plymouth'],['Faculty of Science and Engineering'],"['- An honours degree (a second class or better) in a relevant discipline (e.g., BSc Geography, Environmental Science, Geological Sciences, Earth Science, Marine Science, Ocean Science, Data Science, Mathematics, Computing) OR overseas equivalent. If you apply with a degree in a none-related subject this will also be considered. If you apply without recent formal qualifications, but with relevant industry experience you will also be considered. ', ' ', '- A minimum grade C in English Language at GCSE level OR a minimum overall score of 6.5 in IELTS with no less than 5.5 in any component. ', ' ', 'Visit website for details.']",https://www.findamasters.com/common/clickCount.aspx?theid=70825&type=211&did=764&url=https%3a%2f%2fwww.plymouth.ac.uk%2fcourses%2fpostgraduate%2fmsc-data-science-and-environmental-intelligence
['Data Driven Design'],['Loughborough University London'],['Institute for Design Innovation'],"['A 2:2 honours degree (or equivalent international qualification) in design (eg engineering design, fashion design, art and design), innovation, business, media, technology or a related subject. Applicants from non-design backgrounds must have achieved 55% or above in their final year.']",https://www.findamasters.com/common/clickCount.aspx?theid=72140&type=211&did=8059&url=https%3a%2f%2fwww.lboro.ac.uk%2fstudy%2fpostgraduate%2fmasters-degrees%2fa-z%2fdata-driven-design-msc%2f%3futm_source%3dfau%26utm_medium%3dcourse_listing%26utm_campaign%3dpgt_202425%26utm_term%3ddata_driv_des
['Applied Data Science and Modelling MSc'],['University of Exeter'],['Mathematics and Statistics'],"['A good degree (normally a 2:2). ', ' ', 'Successful applicants will usually have at least an A-level or equivalent in Mathematics and/or have received quantitative skills training as part of their undergraduate programme, or possess relevant professional experience. ', ' ', 'Prior experience of coding is not necessary on this course. ', ' ', 'Please visit our entry requirements section for equivalencies from your country and further information on English language requirements.']",https://www.findamasters.com/common/clickCount.aspx?theid=64505&type=211&did=8985&url=https%3a%2f%2fwww.exeter.ac.uk%2fpostgraduate%2fcourses%2fmathematics%2fappdatamod%2f%3futm_source%3dfindamasters%26utm_medium%3daffiliate%26utm_campaign%3duoe-courselisting-pgt-adsmodelling
['MSc Data Science and AI'],['University of the Arts London'],['UAL Creative Computing Institute'],"['The standard minimum entry requirements for this course are: ', ' ', 'An honours degree in a relevant subject such as Computer Science, Data Science, Computing, Mechanical or Electrical Engineering, Joint Computer Science / Arts, Humanities programme ', 'OR a professional qualification recognised as equivalent to an Honours degree in a technology-related or engineering discipline. ', 'AND typically, at least Grade B/Grade 6 at GCSE Mathematics.']",https://www.findamasters.com/common/clickCount.aspx?theid=71056&type=211&did=8103&url=https%3a%2f%2fwww.arts.ac.uk%2fsubjects%2fcreative-computing%2fpostgraduate%2fmsc-data-science-and-ai
['MSc Data Science and Artificial Intelligence'],['Leeds Trinity University'],['School of Computer Science'],"['We welcome applicants with the following qualifications and experience: ', ' ', 'The typical entry requirement is an honours degree (minimum 2.2) in a computing-related subject. Alternatively, we will consider applicants with equivalent professional experience in a computing related subject or non STEM degree. ', 'Minimum English Language entry requirements: IELTS Academic 6.0 (with no less than 5.5 in any component) or equivalent']",https://www.findamasters.com/common/clickCount.aspx?theid=70551&type=211&did=9025&url=https%3a%2f%2fwww.leedstrinity.ac.uk%2fcourses%2fpostgraduate%2fdata-science-and-artificial-intelligence%2f
['MSc - Health Data Science and Statistics'],['University of Plymouth'],['Faculty of Science and Engineering'],"['A 2:2 honours degree, or equivalent, in biology, biomedical science, computer science, chemistry, dentistry, economics, accounting, finance, engineering, epidemiology, health, geography, marine sciences, mathematics, statistics, data science, medicine, nursing, nutrition, physics, public health, psychology, and any other related disciplines in science, engineering, health and technology. ', ' ', 'English language requirements: ', ' ', 'We welcome applicants with international qualifications. To view other accepted qualifications please refer to our tariff glossary. We encourage international applicants to contact us for further information. ', ' ', 'If English is not your mother tongue you need to achieve a 6.5 IELTS with a minimum of 5.5 in any element.']",https://www.findamasters.com/common/clickCount.aspx?theid=69391&type=211&did=764&url=https%3a%2f%2fwww.plymouth.ac.uk%2fcourses%2fpostgraduate%2fmsc-health-data-science-and-statistics%3futm_campaign%3dnn-pgt-apply-and-open-evening-phase-1-and-2%26utm_source%3dfind-a-masters%26utm_medium%3dcourse-listings%26utm_content%3dmsc-health-data-science-and-statistics
['Satellite Data for Sustainable Development MSc'],['University of Strathclyde'],['Department of Mechanical & Aerospace Engineering'],"['Normally a first-class or second-class honours degree (or international equivalent) in either Engineering, Science, Public Policy, Law, and Business. ', ' ', 'Other qualifications may also be considered provided there is evidence of capacity for postgraduate study. ', ' ', 'Programming knowledge is not required to apply for this programme. Students should hold an aptitude for programming and data analytics, as this will serve them well when studying these subjects areas during their programme.']",https://www.findamasters.com/common/clickCount.aspx?theid=65483&type=211&did=461&url=https%3a%2f%2fwww.strath.ac.uk%2fcourses%2fpostgraduatetaught%2fsatellitedataforsustainabledevelopment%2f
['Data Analytics for Economics & Finance - MSc'],['University of Glasgow'],['Adam Smith Business School'],"['2.1 Honours degree in Economics, Finance, Computing Science or another subject with a quantitative focus. ', ' ', 'All courses in this degree require lots of programming and, while prior programming experience is not necessary, you will be expected to gain advanced programming skills in a short time frame. ', ' ', ' for details.']",https://www.findamasters.com/common/clickCount.aspx?theid=64062&type=211&did=7918&url=https%3a%2f%2fwww.gla.ac.uk%2fpostgraduate%2ftaught%2fdataanalyticsforeconomicsfinance%2f%3futm_source%3dfind-a-masters%2b%26utm_medium%3dprofile%2b%26utm_campaign%3dmar-asbs-pgt%26utm_content%3dfeatured-programme-data-analytics-economics-finance
['Actuarial Management with Data Science - MSc'],['Heriot-Watt University'],['School of Mathematical and Computer Sciences'],"['Entry requires a strong Bachelors or Masters degree with a substantial actuarial content and covering a sufficient number of the Core Technical subjects CT1 to CT8 of the professional actuarial examinations. ', ' ', 'A willingness to work hard and a drive to succeed are also important prerequisites. ', ' ', 'If you have not already passed most/all of the Core Technical subjects (CT1 to CT8) then please refer to our MSc in Actuarial Science.']",https://www.findamasters.com/common/clickCount.aspx?theid=59029&type=211&did=4400&url=https%3a%2f%2fwww.hw.ac.uk%2fuk%2fstudy%2fpostgraduate%2fActuarial-Management-with-Data-Science.htm
['Data Science with Artificial Intelligence MSc'],['University of Exeter'],['Computer Science'],"['Candidates are required to have at least a 2:1 degree in a strongly numerate subject (e.g. computer science, mathematics, physics) and must be able to show evidence of good programming ability in a recognised modern computer language. Candidates may be interviewed by video conference to assess their programming ability and suitability for the course. ', ' ', 'The Python programming language is used extensively during this course and applicants with experience in other languages will be asked to learn basic Python before commencing the course. ', ' ', 'Applicants are also required to meet our English language requirements. Please see our website for details.']",https://www.findamasters.com/common/clickCount.aspx?theid=58552&type=211&did=8973&url=https%3a%2f%2fwww.exeter.ac.uk%2fpostgraduate%2fcourses%2fdatascience%2fdata-artificial%2f%3futm_source%3dfindamasters%26utm_medium%3daffiliate%26utm_campaign%3duoe-courselisting-pgt-datasciai
['Social Data Science - MSc'],['University of Oxford'],['Oxford Internet Institute'],"['As a minimum, applicants should hold or be predicted to achieve the following UK qualifications or their equivalent: ', ' ', 'a first-class undergraduate degree with honours in any subject. ', ' ', 'In exceptional circumstances, applicants with a distinguished record of workplace experience or other relevant achievements may be accepted with lower grades at undergraduate level. We nevertheless strongly encourage any applicants from industry to include at least one reference from an academic or someone in academic-related field. ', ' ', 'For applicants with a degree from the USA, the minimum GPA sought is 3.7 out of 4.0.']",https://www.findamasters.com/common/clickCount.aspx?theid=57119&type=211&did=7153&url=https%3a%2f%2fwww.ox.ac.uk%2fadmissions%2fgraduate%2fcourses%2fmsc-social-data-science
['Data Science and Statistics (MSc)'],['University of Bath'],['Department of Computer Science'],"['You should have a first or strong second-class undergraduate degree or international equivalent. ', ' ', 'Your undergraduate degree may be in a programme that incorporates a strong element of both mathematics and computing such as mathematics, statistics, computer science, physics, chemistry, engineering or economics. It should have included some non-trivial element of programming instruction. We will also consider other subjects eg. geography or biology, which might also meet the criteria depending on their specific mathematical and programming content. ', ' ', 'We may make an offer based on a lower grade if you can provide evidence of your suitability for the degree.']",https://www.findamasters.com/common/clickCount.aspx?theid=54148&type=211&did=1701&url=https%3a%2f%2fwww.bath.ac.uk%2fcourses%2fpostgraduate-2024%2ftaught-postgraduate-courses%2fmsc-data-science-and-statistics%2f
['MSc Data Science for Economics'],['University of Liverpool'],['Liverpool Management School'],"['2:1 Honours degree (or overseas equivalent) in Economics or a related discipline with a quantitative focus. ', ' ', 'Students with a 2:1 degree from a quantitative science discipline (e.g. Maths, Physics, Statistics, Operations Research) are also encouraged to apply. ', ' ', 'Applicants should have competency in A Level Mathematics/ Statistics or equivalent. ', ' ', 'If you hold a bachelor’s degree or equivalent, but don’t meet our entry requirements, a Pre-Master’s can help you gain a place. This specialist preparation course for postgraduate study is offered on campus at the University of Liverpool International College, in partnership with Kaplan International Pathways.']",https://www.findamasters.com/common/clickCount.aspx?theid=69490&type=211&did=923&url=https%3a%2f%2fwww.liverpool.ac.uk%2fcourses%2f2024%2fdata-science-for-economics-msc
['MSc Cancer Genomics and Data Science'],['Queen Mary University of London'],['School of Medicine'],"['A 2:1 or above at undergraduate level in any subject, provided the degree contains satisfactory study of Mathematics and Statistics. Subjects likely to contain sufficient quantitative elements include Genetics, Genomics, Bioinformatics, Mathematics, Statistics, Engineering, and Computer Science. ', ' ', 'Applications from those with less quantitatively oriented Natural Sciences degrees, such as Biology and Medicine, are welcome if they have focused on the more quantitative elements of those degrees. ', ' ', 'Applicants with a 2:2 degrees with relevant content and at least one year of relevant experience, for instance work in industry, analytics, diagnostic labs, scientific research etc, may be considered.']",https://www.findamasters.com/common/clickCount.aspx?theid=68954&type=211&did=4804&url=https%3a%2f%2fwww.qmul.ac.uk%2fpostgraduate%2ftaught%2fcoursefinder%2fcourses%2fcancer-genomics-and-data-science-msc%2f
['Artificial Intelligence and Data Analytics'],['Loughborough University London'],['Institute for Digital Technologies'],"['This programme is suitable for students who have a minimum 2:2 honours degree (50% in final year), or equivalent international qualification, in a range of disciplines, including digital technologies, engineering, mathematics, science, finance, economics and marketing. ', ' ', 'Applicants from other disciplines (e.g. business and management, and subjects within the social sciences) who wish to study this programme are also welcome to apply and will be considered on a case by case basis.']",https://www.findamasters.com/common/clickCount.aspx?theid=62915&type=211&did=8058&url=https%3a%2f%2fwww.lboro.ac.uk%2fstudy%2fpostgraduate%2fmasters-degrees%2fa-z%2fartificial-intelligence-data-analytics%2f%3futm_source%3dfau%26utm_medium%3dcourse_listing%26utm_campaign%3dpgt_202425%26utm_term%3dart_int_data_analysis
['MSc Data Analytics'],['Edge Hill University'],['Department of Computer Science'],['A degree equivalent to UK first-class or second-class honours (2:2 or above) in a non-STEM related subject.'],https://www.findamasters.com/common/clickCount.aspx?theid=72976&type=211&did=6416&url=https%3a%2f%2fwww.edgehill.ac.uk%2fcourse%2fdata-analytics%2f%3futm_source%3dfind_a_masters%26utm_medium%3dcourse_listing%26utm_campaign%3dalways_on_pg%26utm_content%3dfam_msc_data_analytics
['MSc International Business and Data Analytics Management'],['Wrexham University'],['Business & Industry'],"['Applicants will normally be expected to hold a good first honours degree (2:2 or above in any subject), or international equivalent. A non-graduate qualification, which the University deems to be of satisfactory standard for the purpose of post-graduate admission. Applicants may be a recent graduate, who has achieved their honours degree, and wishes to continue to post graduate studies to elevate their career opportunities. Where necessary, or as part of the University’s policies and processes, applicants may be subject to additional selection criteria ', ' ', 'Visit website for details.']",https://www.findamasters.com/common/clickCount.aspx?theid=70090&type=211&did=3752&url=https%3a%2f%2fglyndwr.ac.uk%2fcourses%2fpostgraduate-courses%2finternational-business-and-data-analytics-management%2f%23panel6
['MSc Geographic Data Science'],['University of Liverpool'],['Department of Geography'],"['You will normally need a 2:1 honours degree or above, or equivalent. This degree should be in a relevant subject. ', ' ', 'Applications from those with significant relevant experience and professional qualifications will be assessed on an individual basis. ', ' ', 'If you hold a bachelor’s degree or equivalent, but don’t meet our entry requirements, you could be eligible for a Pre-Master’s course. This is offered on campus at the University of Liverpool International College, in partnership with Kaplan International Pathways.']",https://www.findamasters.com/common/clickCount.aspx?theid=30548&type=211&did=921&url=https%3a%2f%2fwww.liverpool.ac.uk%2fcourses%2f2024%2fgeographic-data-science-msc
['Security and Data Science MSc'],['University of Exeter'],"['Social and Political Sciences, Philosophy and Anthropology']","['We are looking for graduates with a 2:1 or above in their first degree. While we normally only accept applicants who meet these criteria, if you have a high 2:2 or equivalent, are coming from a different academic background which is equivalent to degree level, or have relevant work experience, we would welcome your application. ', ' ', 'For full details, including English language requirements and international equivalencies, please visit our course page.']",https://www.findamasters.com/common/clickCount.aspx?theid=72551&type=211&did=8990&url=https%3a%2f%2fwww.exeter.ac.uk%2fstudy%2fpostgraduate%2fcourses%2fsecuritystudies%2fsecurity-data-science%2f%3futm_source%3dfindamasters%26utm_medium%3daffiliate%26utm_campaign%3duoe-courselisting-pgt-secdatasci
['MSc Behavioural Economics and Data Science'],['University of East Anglia'],['School of Economics'],"['Bachelors degree (minimum 2:2 or equivalent) ', ' ', 'Degree Subject ', 'Any subject acceptable.']",https://www.findamasters.com/common/clickCount.aspx?theid=66681&type=211&did=4808&url=https%3a%2f%2fwww.uea.ac.uk%2fcourse%2fpostgraduate%2fmsc-behavioural-economics-and-data-science%2f2024-25%2fsep
['Data Science and Analytics with Advanced Research - MSc'],['University of Hertfordshire'],"['School of Physics, Engineering and Computer Science']","['For admission to MSc Data Science and Analytics with Advanced Research, the normal requirement is a good honours degree (or equivalent) in computer science or cognate discipline. The choice of award title students may be accepted on to will be determined by the award applied for and the prior learning of the student as demonstrated by the transcript for existing qualifications held by the applicant. ', ' ', 'Applicants whose first language is not English must demonstrate sufficient competence in English to benefit from the Programme.']",https://www.findamasters.com/common/clickCount.aspx?theid=65445&type=211&did=64&url=https%3a%2f%2fwww.herts.ac.uk%2fcourses%2fpostgraduate-masters%2fmsc-data-science-and-analytics-with-advanced-research
['Environmental Data Science and Machine Learning - MSc'],['Imperial College London'],['Earth Science and Engineering'],['Our minimum requirement is a 2.1 degree in an engineering or a science-based discipline.'],https://www.findamasters.com/common/clickCount.aspx?theid=65039&type=211&did=2564&url=https%3a%2f%2fwww.imperial.ac.uk%2fstudy%2fcourses%2fpostgraduate-taught%2fenvironmental-data-science-machine-learning%2f
['Data Analytics for Government - MSc'],['Cardiff University'],['Cardiff School of Computer Science and Informatics'],['For entry requirements please visit our website: '],https://www.findamasters.com/common/clickCount.aspx?theid=63516&type=211&did=4087&url=https%3a%2f%2fwww.cardiff.ac.uk%2fstudy%2fpostgraduate%2ftaught%2fcourses%2fcourse%2fdata-analytics-for-government-msc
['Artificial Intelligence and Data Science MSc'],['Keele University'],['School of Computing and Mathematics'],[],https://www.findamasters.com/common/clickCount.aspx?theid=61620&type=211&did=8685&url=https%3a%2f%2fwww.keele.ac.uk%2fstudy%2fpostgraduatestudy%2fpostgraduatecourses%2fartificialintelligenceanddatascience%2f
['MSc Social Data Science'],['University of Essex'],['Department of Government'],"['A 2.2 degree in Political Science, International Relations, International Studies, American Studies, United States Politics, Economics, Finance or Statistics. ', ' ', 'OR ', ' ', 'A 2.2 degree in any subject which includes study in two relevant modules. See programme website for full details. ', ' ', 'We will also consider applicants with a 2.2 degree in an unrelated subject and have at least six months relevant work experience such as working with a NGO. ', ' ', 'We accept a wide range of qualifications from applicants studying in the EU and other countries. Get in touch with any questions you may have about the qualifications we accept.']",https://www.findamasters.com/common/clickCount.aspx?theid=60107&type=211&did=1301&url=https%3a%2f%2fwww.essex.ac.uk%2fcourses%2fpg01314%2f1%2fmsc-social-data-science%3futm_campaign%3dnn-pg-advertising-campaign-2212%26utm_source%3dfind-a-masters%26utm_medium%3dcourse-listing%26utm_content%3dmsc-social-data-science
['Data Analytics for Government MSc'],['University of Southampton'],['Faculty of Social Sciences'],"['You’ll need a 2:1 in a subject with some statistical methods content, such as: ', ' ', 'geography ', 'psychology ', 'population sciences ', 'economics ', 'econometrics ', 'statistics ', 'maths ', ' ', 'If your degree doesn’t have any statistical content, we’ll ask you to show that you have the necessary background knowledge. ', ' ', 'You should be currently employed in official statistics, but previous professional experience might be taken into account. ', ""If you’re successful in your application to join this course, we'll ask you to attend an introductory revision module covering basic maths and statistics before the course starts. "", ' ', ' for details.']",https://www.findamasters.com/common/clickCount.aspx?theid=53777&type=211&did=6917&url=https%3a%2f%2fwww.southampton.ac.uk%2fcourses%2fdata-analytics-for-government-masters-msc%3futm_source%3d-pg-aggregator%26utm_medium%3d%26utm_content%3dcourse%26utm_campaign%3dPG2024
['Data Science and Analytics - MSc'],['Cardiff University'],['Cardiff School of Computer Science and Informatics'],"['For entry requirements for this course, please visit our website: ', ' ', 'Full time - ', ' ', 'Part time - ']",https://www.findamasters.com/common/clickCount.aspx?theid=53197&type=211&did=4087&url=https%3a%2f%2fwww.cardiff.ac.uk%2fstudy%2fpostgraduate%2ftaught%2fcourses%2fcourse%2fdata-science-and-analytics-msc
['Energy Systems and Data Analytics (ESDA) MSc'],['University College London'],['Faculty of the Built Environment'],"[""A minimum of an upper second-class Bachelor's degree or an overseas qualification of an equivalent standard.""]",https://www.findamasters.com/common/clickCount.aspx?theid=51125&type=211&did=9067&url=https%3a%2f%2fwww.ucl.ac.uk%2fprospective-students%2fgraduate%2ftaught-degrees%2fenergy-systems-and-data-analytics-esda-msc%3futm_source%3dfindamasters%26utm_medium%3daffiliate%26utm_campaign%3dvpee_pgt_always_on%26utm_content%3dlisting
['Data Science and Analytics - MSc'],['Cardiff University'],['Cardiff School of Mathematics'],"['For entry requirements, please visit our website: ', ' ', 'Full time - ', ' ', 'Part time - ']",https://www.findamasters.com/common/clickCount.aspx?theid=43740&type=211&did=4091&url=https%3a%2f%2fwww.cardiff.ac.uk%2fstudy%2fpostgraduate%2ftaught%2fcourses%2fcourse%2fdata-science-and-analytics-msc
['Advanced Computer Science (Data Analytics) - MSc'],['University of Leeds'],['School of Computing'],"['A bachelor degree with a First (hons) in computer science. Other Computing based degrees may be considered on a case by case basis. ', ' ', 'We require all applicants to have studied a breadth of relevant modules including significant programming, systems development, data structures and algorithms, with strong marks across all these modules. ', ' ', 'Relevant work experience will also be considered.']",https://www.findamasters.com/common/clickCount.aspx?theid=26517&type=211&did=8435&url=https%3a%2f%2fcourses.leeds.ac.uk%2fg314%2fadvanced-computer-science-data-analytics-msc
['Data Science (MSc)'],"['Birkbeck, University of London']",['School of Computing and Mathematical Sciences'],"['A second-class honours degree (2:2) or equivalent in any subject other than single-honours computer science, or significant experience in the IT industry. If you already hold a degree in computer science, please see MSc Advanced Computing. ', ' ', 'Suitable candidates are invited by email to take an online aptitude test and we aim to get back to you with a decision within 10 working days. You can download the aptitude test notes in advance to prepare. Please note that you can only take the aptitude test once per academic year.']",https://www.findamasters.com/common/clickCount.aspx?theid=42861&type=211&did=9012&url=https%3a%2f%2fwww.bbk.ac.uk%2fcourses%2fpostgraduate%2fdata-science
['Data Science (with an industrial placement year) - MSc'],['University of Sussex'],['School of Mathematical and Physical Sciences'],"['You should normally have an upper second-class (2.1) undergraduate honours degree or above. ', ' ', 'Your qualification should be in physics, engineering, science, computing, mathematics or life sciences. You may also be considered for the course if you have other professional qualifications or experience of equivalent standing.']",https://www.findamasters.com/common/clickCount.aspx?theid=70594&type=211&did=4268&url=https%3a%2f%2fwww.sussex.ac.uk%2fstudy%2fmasters%2fcourses%2fdata-science-with-an-industrial-placement-year-msc%3futm_source%3dfindamasters%26utm_medium%3dpaid_referral%26utm_campaign%3dpg-listings-mps%26utm_content%3ddata-science-placement
['Data Science and Statistics (Health) (MSc)'],['University of Bath'],['Department of Computer Science'],"['You should have a first or strong second-class undergraduate degree or equivalent international equivalent. ', ' ', 'To apply for this course, your undergraduate degree should be in a programme that incorporates a substantial mathematical element such as mathematics, statistics, computer science, physics, chemistry, engineering or economics. Experience of computer programming would also be advantageous. ', ' ', 'We will also consider other subjects, for example geography or biology, which may meet the criteria depending on their specific mathematical and computing content. ', ' ', 'We may make an offer based on a lower grade if you can provide evidence of your suitability for the degree.']",https://www.findamasters.com/common/clickCount.aspx?theid=69387&type=211&did=1701&url=https%3a%2f%2fwww.bath.ac.uk%2fcourses%2fpostgraduate-2024%2ftaught-postgraduate-courses%2fmsc-data-science-and-statistics-health%2f
"['Data Science (with specialisation in Artificial Intelligence) MSc, PGDip, PGCert']",['Newcastle University'],['School of Computing'],"['A 2:1 BSc honours degree, or international equivalent, in: ', ' ', '- computer science ', '- mathematics ', '- statistics ', '- an engineering discipline with programming experience ', ' ', 'We have a strong track record of admitting applicants from a non-standard background and individuals with strong relevant work experience are encouraged to apply and will be considered on an individual basis.']",https://www.findamasters.com/common/clickCount.aspx?theid=63967&type=211&did=3189&url=https%3a%2f%2fwww.ncl.ac.uk%2fpostgraduate%2fdegrees%2f5449f%2f%3futm_campaign%3dpostgrad%26utm_source%3dfindamasters%26utm_medium%3dlisting%26utm_content%3dData_Science_(with_Specialisation_in_Artificial_Intelligence)
